Retailer,Region,State,City,Product,Sales Method,Month,Season
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,2,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,3,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,4,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,5,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,6,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,7,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,8,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,9,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,10,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,11,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,12,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,1,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,2,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,3,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,4,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,5,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,6,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,7,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,8,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,9,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,10,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,11,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Online,12,4
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,1,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,2,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,3,1
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,4,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,5,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,6,2
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,7,3
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,8,3
