Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Month,Year,Day,Season,Date
Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,434,954.8,Outlet,19096,3,2020,10,Q1,3/10/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,48,420,1209.6,Outlet,20160,5,2020,3,Q2,5/3/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,39,408,795.6,Outlet,15912,4,2020,19,Q2,4/19/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,46,403,1112.28,Outlet,18538,4,2020,27,Q2,4/27/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,47,400,940,Outlet,18800,3,2020,4,Q1,3/4/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,40,390,780,Outlet,15600,1,2020,25,Q1,1/25/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,388,640.2,Outlet,12804,1,2020,7,Q1,1/7/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,34,384,652.8,Outlet,13056,1,2020,1,Q1,1/1/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,41,375,768.75,Outlet,15375,3,2020,16,Q1,3/16/2020
Walmart,South,Texas,Houston,Women's Street Footwear,29,374,433.84,Outlet,10846,8,2020,26,Q3,8/26/2020
Walmart,South,Texas,Houston,Women's Street Footwear,29,374,433.84,Outlet,10846,9,2020,1,Q3,9/1/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,372,613.8,Outlet,12276,1,2020,31,Q1,1/31/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,366,805.2,Outlet,16104,2,2020,6,Q1,2/6/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,56,360,1209.6,Online,20160,4,2020,19,Q2,4/19/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,359,398.49,Outlet,13283,3,2020,17,Q1,3/17/2020
Walmart,Northeast,New York,New York,Women's Apparel,48,355,511.2,Outlet,17040,4,2020,18,Q2,4/18/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,354,977.04,Online,16284,1,2020,25,Q1,1/25/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,47,352,496.32,Outlet,16544,3,2020,15,Q1,3/15/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,350,448,Outlet,11200,1,2020,3,Q1,1/3/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,36,350,378,Outlet,12600,1,2020,24,Q1,1/24/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,350,451.5,Outlet,15050,4,2020,20,Q2,4/20/2020
Walmart,Northeast,New York,New York,Women's Apparel,45,350,472.5,Outlet,15750,4,2020,24,Q2,4/24/2020
Walmart,South,Texas,Houston,Women's Apparel,38,350,798,Outlet,13300,8,2020,23,Q3,8/23/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,46,347,478.86,Outlet,15962,3,2020,9,Q1,3/9/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,340,418.2,Outlet,13940,3,2020,5,Q1,3/5/2020
Walmart,Northeast,New York,New York,Women's Apparel,48,340,489.6,Outlet,16320,7,2020,18,Q3,7/18/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,47,336,947.52,Online,15792,1,2020,1,Q1,1/1/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,39,333,389.61,Outlet,12987,2,2020,5,Q1,2/5/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,42,333,559.44,Outlet,13986,5,2020,5,Q2,5/5/2020
Walmart,South,Texas,Houston,Men's Street Footwear,32,333,426.24,Outlet,10656,10,2020,26,Q4,10/26/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,34,333,452.88,Outlet,11322,10,2020,27,Q4,10/27/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,38,330,376.2,Outlet,12540,1,2020,6,Q1,1/6/2020
Walmart,Northeast,New York,New York,Women's Apparel,50,330,495,Outlet,16500,4,2020,26,Q2,4/26/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,58,325,1131,Online,18850,3,2020,16,Q1,3/16/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,40,324,518.4,Outlet,12960,3,2020,31,Q1,3/31/2020
Sports Direct,Southeast,Florida,Miami,Men's Street Footwear,63,323,1220.94,Online,20349,5,2020,24,Q2,5/24/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,32,323,413.44,Outlet,10336,1,2020,21,Q1,1/21/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,36,323,348.84,Outlet,11628,1,2020,30,Q1,1/30/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,33,323,426.36,Outlet,10659,8,2020,19,Q3,8/19/2020
Walmart,Northeast,New York,New York,Women's Apparel,53,322,511.98,Outlet,17066,5,2020,2,Q2,5/2/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,36,320,345.6,Outlet,11520,1,2020,2,Q1,1/2/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,44,320,422.4,Outlet,14080,3,2020,3,Q1,3/3/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,59,319,1129.26,Online,18821,3,2020,10,Q1,3/10/2020
Walmart,South,Texas,Houston,Women's Street Footwear,37,319,472.12,Online,11803,8,2020,26,Q3,8/26/2020
Foot Locker,Southeast,Florida,Miami,Men's Street Footwear,43,319,823.02,Online,13717,8,2020,12,Q3,8/12/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,41,318,521.52,Outlet,13038,3,2020,11,Q1,3/11/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,54,317,1027.08,Online,17118,2,2020,6,Q1,2/6/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,39,315,368.55,Outlet,12285,1,2020,8,Q1,1/8/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,441,Outlet,11025,1,2020,26,Q1,1/26/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,35,315,330.75,Outlet,11025,2,2020,1,Q1,2/1/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,28,315,352.8,Outlet,8820,2,2020,2,Q1,2/2/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,36,315,453.6,Outlet,11340,4,2020,21,Q2,4/21/2020
Walmart,Northeast,New York,New York,Men's Apparel,44,315,554.4,Outlet,13860,4,2020,23,Q2,4/23/2020
Walmart,South,Texas,Houston,Men's Street Footwear,24,315,302.4,Outlet,7560,8,2020,12,Q3,8/12/2020
Walmart,South,Texas,Houston,Women's Street Footwear,36,315,453.6,Outlet,11340,9,2020,7,Q3,9/7/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,27,314,339.12,Outlet,8478,1,2020,27,Q1,1/27/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,314,464.72,Outlet,11618,3,2020,18,Q1,3/18/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,46,313,863.88,Online,14398,1,2020,7,Q1,1/7/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,55,313,1032.9,Online,17215,3,2020,4,Q1,3/4/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,62,312,1160.64,Online,19344,5,2020,3,Q2,5/3/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,40,312,499.2,Outlet,12480,4,2020,28,Q2,4/28/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,43,310,533.2,Outlet,13330,5,2020,4,Q2,5/4/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,53,308,652.96,Online,16324,3,2020,17,Q1,3/17/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,43,306,526.32,Outlet,13158,1,2020,5,Q1,1/5/2020
Foot Locker,Northeast,New York,New York,Men's Apparel,43,306,526.32,Outlet,13158,1,2020,23,Q1,1/23/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,34,306,416.16,Outlet,10404,4,2020,22,Q2,4/22/2020
Walmart,Northeast,New York,New York,Women's Athletic Footwear,41,306,501.84,Outlet,12546,5,2020,6,Q2,5/6/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,20,306,244.8,Outlet,6120,7,2020,31,Q3,7/31/2020
Sports Direct,South,Texas,Houston,Men's Street Footwear,23,306,281.52,Outlet,7038,8,2020,6,Q3,8/6/2020
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,29,306,354.96,Outlet,8874,8,2020,7,Q3,8/7/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,31,306,379.44,Outlet,9486,10,2020,21,Q4,10/21/2020
Walmart,South,Texas,Houston,Women's Apparel,41,306,627.3,Outlet,12546,10,2020,31,Q4,10/31/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,64,305,780.8,Online,19520,3,2020,9,Q1,3/9/2020
Walmart,South,Texas,Houston,Men's Street Footwear,27,305,329.4,Outlet,8235,8,2020,30,Q3,8/30/2020
Walmart,South,Texas,Houston,Men's Athletic Footwear,33,305,402.6,Outlet,10065,8,2020,31,Q3,8/31/2020
West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,304,1094.4,Online,18240,9,2020,17,Q3,9/17/2020
Walmart,South,Texas,Houston,Women's Apparel,36,302,543.6,Outlet,10872,8,2020,29,Q3,8/29/2020
Foot Locker,Northeast,New York,New York,Men's Street Footwear,45,300,810,Online,13500,1,2020,31,Q1,1/31/2020
Walmart,Northeast,New York,New York,Men's Athletic Footwear,51,300,612,Online,15300,5,2020,4,Q2,5/4/2020
West Gear,Southeast,Florida,Miami,Men's Street Footwear,52,300,936,Online,15600,4,2020,24,Q2,4/24/2020
Walmart,Northeast,New York,New York,Men's Street Footwear,60,299,1076.4,Online,17940,4,2020,27,Q2,4/27/2020
West Gear,Southeast,Florida,Miami,Men's Street Footwear,60,299,1076.4,Online,17940,9,2020,11,Q3,9/11/2020
Walmart,South,Texas,Houston,Women's Apparel,42,298,750.96,Outlet,12516,9,2020,10,Q3,9/10/2020
Walmart,South,Texas,Houston,Women's Street Footwear,38,298,452.96,Outlet,11324,10,2020,28,Q4,10/28/2020
Walmart,South,Texas,Houston,Women's Street Footwear,39,297,579.15,Online,11583,9,2020,1,Q3,9/1/2020
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,38,297,451.44,Outlet,11286,3,2020,7,Q1,3/7/2020
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,37,296,328.56,Outlet,10952,2,2020,7,Q1,2/7/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,37,296,438.08,Outlet,10952,3,2020,6,Q1,3/6/2020
Foot Locker,Northeast,New York,New York,Women's Street Footwear,35,295,413,Outlet,10325,3,2020,12,Q1,3/12/2020
Walmart,South,Texas,Houston,Women's Apparel,32,295,566.4,Outlet,9440,8,2020,17,Q3,8/17/2020
Walmart,South,Texas,Houston,Men's Street Footwear,28,295,330.4,Outlet,8260,8,2020,18,Q3,8/18/2020
Walmart,South,Texas,Houston,Men's Street Footwear,29,295,342.2,Outlet,8555,8,2020,24,Q3,8/24/2020
Walmart,Northeast,New York,New York,Women's Street Footwear,43,294,505.68,Outlet,12642,4,2020,29,Q2,4/29/2020
Walmart,South,Texas,Houston,Women's Apparel,47,293,826.26,Online,13771,8,2020,29,Q3,8/29/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,48,290,556.8,Online,13920,1,2020,24,Q1,1/24/2020
Foot Locker,Northeast,New York,New York,Women's Apparel,59,290,684.4,Online,17110,3,2020,3,Q1,3/3/2020
Walmart,Northeast,New York,New York,Women's Apparel,62,290,719.2,Online,17980,4,2020,18,Q2,4/18/2020
Walmart,Northeast,New York,New York,Women's Apparel,68,290,788.8,Online,19720,4,2020,26,Q2,4/26/2020
Walmart,Northeast,New York,New York,Women's Apparel,68,290,591.6,Online,19720,7,2020,18,Q3,7/18/2020
West Gear,Southeast,Florida,Miami,Men's Street Footwear,55,290,957,Online,15950,4,2020,24,Q2,4/24/2020
