Retailer,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method,Total Sales,Date
Walmart,Southeast,Florida,Orlando,Women's Apparel,103,218,1347.24,Online,22454,6/17/2021
West Gear,South,Louisiana,New Orleans,Women's Apparel,103,163,839.45,Online,16789,7/16/2021
Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,10,700,3150,Outlet,7000,8/25/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,575,3881.25,Outlet,8625,8/27/2021
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,475,3206.25,Outlet,7125,8/21/2021
West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,2493.75,In-store,7125,1/11/2021
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,3150,Online,9000,11/17/2021
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,450,2700,Online,6750,1/23/2021
West Gear,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,2700,In-store,9000,4/3/2021
Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,2975,In-store,8500,1/18/2021
West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,2231.25,In-store,6375,2/11/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,425,2975,In-store,8500,6/11/2021
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,3400,Online,8500,4/10/2021
Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,425,2550,Online,6375,3/16/2021
Walmart,South,Mississippi,Jackson,Women's Street Footwear,20,425,3400,Online,8500,9/16/2021
Walmart,South,Arkansas,Little Rock,Women's Apparel,20,425,3400,Online,8500,2/21/2021
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,2975,Online,8500,10/21/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,400,2800,In-store,8000,3/10/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,3200,In-store,8000,6/11/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,2800,In-store,8000,10/11/2021
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,2800,In-store,8000,11/11/2021
Walmart,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,3200,Online,8000,9/16/2021
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,400,2400,Online,6000,2/21/2021
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,582.8,Outlet,11656,2/7/2021
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,4125,Outlet,7500,8/22/2021
Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,2625,In-store,7500,2/18/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,3000,In-store,7500,8/11/2021
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,3000,In-store,7500,11/11/2021
Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,375,2250,Online,5625,4/17/2021
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,1968.75,Online,5625,11/20/2021
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,375,2250,Online,5625,1/23/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,3062.5,In-store,8750,3/17/2021
Foot Locker,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,3500,In-store,8750,6/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,3062.5,In-store,8750,10/18/2021
Foot Locker,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,3062.5,In-store,8750,11/18/2021
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,25,350,3062.5,In-store,8750,5/12/2021
